Date,Region,Place,Trigger,Weak Layer,Depth,Width,Vertical,Aspect,Elevation,Coordinates,Caught,Carried,Buried - Partly,Buried - Fully,Injured,Killed
12/31/2010,Salt Lake,Davenport Hill,Skier,Density Change,"5""",30',40',Southwest,,"40.595739000000, -111.610923000000",,,,,,
12/31/2010,Salt Lake,West Hellgate,Snowboarder,,2',40',150',South,"9,400'","40.591784000000, -111.655469000000",,,,,,
12/31/2010,Ogden,Farmington Canyon,Unknown,New Snow/Old Snow Interface,"18""",100',40',South,,"40.993115000000, -111.815414000000",,,,,,
12/31/2010,Salt Lake,Figure 8 Hill,Skier,New Snow,"6""",35',80',Northeast,"9,900'","40.591861000000, -111.604614000000",1,1,,,,
12/31/2010,Logan,"Mt.Magog, East Bench",Snowboarder,Density Change,"8""",40',70',East,"8,200'","41.912785000000, -111.648130000000",,,,,,
12/31/2010,Salt Lake,Gobblers Knob,Natural,,,,,Southeast,,"40.668595000000, -111.684008000000",,,,,,
12/30/2010,Salt Lake,Porter Fork,Natural,,,,,East,"9,800'","40.661272000000, -111.699025000000",,,,,,
12/30/2010,Salt Lake,Butler Fork,Unknown,,,,,East,"9,100'","40.663712000000, -111.643968000000",,,,,,
12/30/2010,Salt Lake,Butler Fork,Natural,,,,,Northeast,"9,000'","40.663973000000, -111.644096000000",,,,,,
12/30/2010,Salt Lake,Flagstaff Gully,Skier,Density Change,"10""",50',50',Southeast,"8,900'","40.590981000000, -111.643023000000",,,,,,
12/30/2010,Ogden,Farmington Canyon,Unknown,,,,,North,"7,600'","40.984110000000, -111.798420000000",,,,,,
12/30/2010,Salt Lake,Little Water,Unknown,,,,,East,"9,100'","40.676277000000, -111.628776000000",,,,,,
12/30/2010,Ogden,Strawberry Creek,Natural,,2',"2,500'","2,500'",Northeast,"9,000'","41.171677000000, -111.872406000000",,,,,,
12/30/2010,Salt Lake,Murdock Peak,Unknown,,,,,East,"9,000'","40.696453000000, -111.603799000000",,,,,,
12/30/2010,Salt Lake,Gobblers Knob,Natural,,,,,Southeast,,"40.668595000000, -111.684008000000",,,,,,
12/29/2010,Provo,Finger Chutes,Natural,,,,,,,"40.375334000000, -111.611711000000",,,,,,
12/29/2010,Provo,Lost Creek,Natural,,,,,,,"40.363884000000, -111.623556000000",,,,,,
12/29/2010,Logan,Southern Wellsvilles,Natural,New Snow/Old Snow Interface,,,,North,"6,000'","0.000000000000, 0.000000000000",,,,,,
12/29/2010,Ogden,North Ogden Divide,Natural,New Snow/Old Snow Interface,2',"1,500'","3,000'",Southeast,"8,100'","41.353651000000, -111.936994000000",,,,,,
12/29/2010,Ogden,Cutler Ridge,Natural,,,,,,,"41.371720000000, -111.937809000000",,,,,,
12/29/2010,Logan,Bobcat,Natural,New Snow/Old Snow Interface,,,,Northeast,"8,200'","41.822790000000, -111.671133000000",,,,,,
12/29/2010,Provo,Provo,Natural,New Snow/Old Snow Interface,,,,Northeast,"11,000'","40.408824000000, -111.660573000000",,,,,,
12/29/2010,Ogden,Cutler Ridge,Natural,Density Change,2',100',,North,"6,500'","41.380608000000, -111.928110000000",,,,,,
12/29/2010,Logan,Bobcat,Natural,New Snow/Old Snow Interface,,,,Northeast,"8,200'","41.822790000000, -111.671133000000",,,,,,
12/29/2010,Logan,East Faces-Wellsville Range,Natural,,,,"2,000'",Northeast,,"41.677375000000, -112.010508000000",,,,,,
12/29/2010,Logan,Tony Grove Lake,Natural,,"18""",40',250',East,"8,200'","41.893991000000, -111.646070000000",,,,,,
12/29/2010,Provo,American Fork,Snowmobiler,New Snow,,,,North,,"40.496252000000, -111.636629000000",,,,,,
12/29/2010,Salt Lake,White Pine,Unknown,,,,,North,"10,200'","40.542635000000, -111.683235000000",,,,,,
12/29/2010,Salt Lake,Dog Lake Chutes,Natural,Density Change,"18""",125',300',Northeast,"9,700'","40.585474000000, -111.587920000000",,,,,,
12/29/2010,Logan,"Miller Bowl, East",Skier,Surface Hoar,"12""",300',300',North,"8,700'","41.886132000000, -111.644247000000",,,,,,
12/29/2010,Salt Lake,Rocky Point,Skier,,"20""",150',400',Northeast,"10,400'","40.578303000000, -111.598005000000",,,,,,
12/29/2010,Salt Lake,Mary Lake Ridge,Skier,Density Change,3',200',250',East,"9,700'","40.590492000000, -111.593456000000",,,,,,
12/29/2010,Provo,Slide Canyon,Natural,,,,,,,"40.366689000000, -111.615257000000",,,,,,
12/29/2010,Logan,Wildcat,Natural,,,,,Northeast,,"41.845876000000, -111.670232000000",,,,,,
12/28/2010,Salt Lake,Red Pine Gulch,Skier,,,,,North,"10,500'","40.535460000000, -111.695423000000",4,4,,,1,
12/27/2010,Salt Lake,Dromedary Peak,Skier,New Snow,"10""",60',100',Northeast,"10,500'","40.593425000000, -111.704736000000",,1,,,,
12/27/2010,Provo,Woolly Hole,Skier,Density Change,,,,Northeast,"9,400'","40.415849000000, -111.660919000000",1,1,1,,,
12/27/2010,Provo,Timpanogos,Skier,Density Change,"10""",70',,East,"8,500'","0.000000000000, 0.000000000000",1,1,,,,
12/26/2010,Uintas,Uintas,Natural,Facets,3',450',800',Northwest,"11,000'","40.703025000000, -110.906639000000",,,,,,
12/26/2010,Uintas,Bald Mtn Aprons,Natural,Density Change,3',"1,000'",700',North,"11,000'","40.703631000000, -110.908763000000",,,,,,
12/25/2010,Salt Lake,Stupid Chute,Skier,Density Change,,,450',North,"10,000'","40.589189000000, -111.599636000000",1,1,,,,
12/25/2010,Salt Lake,Wolverine Peak,Skier,New Snow/Old Snow Interface,"10""",50',300',Northeast,"10,400'","40.587559000000, -111.608005000000",1,,,,,
12/24/2010,Salt Lake,Salt Lake,Skier,,,,,North,"10,000'","40.600985000000, -111.634655000000",,,,,,
12/24/2010,Salt Lake,Little Pine,Natural,,,,,South,,"40.588988000000, -111.677218000000",,,,,,
12/23/2010,Moab,Laurel Cirque,Natural,Facets,4',600',800',Northwest,"11,600'","38.451345000000, -109.248090000000",,,,,,
12/23/2010,Moab,Talking Mountain Cirque,Natural,Facets,4',"3,500'",,Northwest,"11,600'","38.444623000000, -109.242768000000",,,,,,
12/23/2010,Provo,Snake Creek,Natural,New Snow/Old Snow Interface,"20""",500',700',East,"9,300'","0.000000000000, 0.000000000000",,,,,,
12/23/2010,Moab,Mt. Peale - N. Face,Natural,Facets,4',"5,000'",,North,"12,400'","38.440010000000, -109.229422000000",,,,,,
12/23/2010,Salt Lake,Bonanza Flats,Unknown,New Snow/Old Snow Interface,"10""",40',,,,"0.000000000000, 0.000000000000",,,,,,
12/23/2010,Moab,Middle Cirque,Natural,Facets,,,,Northwest,"11,800'","38.443413000000, -109.251008000000",,,,,,
12/23/2010,Salt Lake,Big Horn Peak,Unknown,,,,,West,"10,000'","40.519411000000, -111.745634000000",,,,,,
12/23/2010,Uintas,Mill Hollow,Skier,,"12""",70',,North,"9,100'","41.722182000000, -111.730978000000",,,,,,
12/22/2010,Uintas,Phone Shot,Natural,Density Change,3',700',"1,250'",North,"10,000'","39.589353000000, -111.280088000000",,,,,,
12/22/2010,Salt Lake,All areas,Natural,New Snow/Old Snow Interface,2',,,North,,"0.000000000000, 0.000000000000",,,,,,
12/22/2010,Provo,Deer Creek,Natural,New Snow/Old Snow Interface,"12""",450',"1,500'",Northeast,"9,400'","40.490630000000, -111.683321000000",,,,,,
12/22/2010,Salt Lake,Hidden Canyon,Snowboarder,,,,,North,"10,000'","40.598053000000, -111.562042000000",,,,,,
12/22/2010,Ogden,Farmington Lakes,Natural,,,,,North,"8,100'","40.974140000000, -111.821577000000",,,,,,
12/22/2010,Salt Lake,Willows,Skier,New Snow/Old Snow Interface,"12""",200',150',South,"9,500'","0.000000000000, 0.000000000000",,,,,,
12/22/2010,Salt Lake,West Monitor,Natural,Density Change,"8""",200',500',Northeast,"9,900'","40.639032000000, -111.576848000000",,,,,,
12/22/2010,Ogden,Ben Lomond,Natural,New Snow/Old Snow Interface,"9""",125',175',East,"8,100'","0.000000000000, 0.000000000000",,,,,,
12/22/2010,Salt Lake,West Willow,Natural,Density Change,"8""",300',350',Northeast,"9,300'","40.643794000000, -111.595664000000",,,,,,
12/22/2010,Salt Lake,Cardiac Ridge,Natural,,,,,Northeast,"10,600'","40.597972000000, -111.667820000000",,,,,,
12/22/2010,Provo,Timpanogos,Unknown,,,,,Southwest,"11,200'","40.359103000000, -111.637573000000",,,,,,
12/22/2010,Salt Lake,Little Water,Unknown,,,,,Northeast,"9,500'","0.000000000000, 0.000000000000",,,,,,
12/22/2010,Salt Lake,Meadows,Natural,New Snow,,,,East,"9,500'","0.000000000000, 0.000000000000",,,,,,
12/22/2010,Uintas,Uintas,Natural,Density Change,3',50',100',North,"10,000'","40.813549000000, -110.909042000000",,,,,,
12/22/2010,Logan,Providence Peak,Natural,,,,,North,"9,100'","41.699032000000, -111.708899000000",,,,,,
12/21/2010,Salt Lake,Willows,Natural,,"10""",30',50',North,"9,500'","40.631412000000, -111.581182000000",,,,,,
12/21/2010,Provo,Timpanogos,Unknown,,,,,Southwest,"7,400'","40.358600000000, -111.647959000000",,,,,,
12/20/2010,Logan,Bear River Range,Natural,,,,,North,"8,500'","0.000000000000, 0.000000000000",,,,,,
12/20/2010,Logan,East Faces-Wellsville Range,Natural,New Snow/Old Snow Interface,,,"2,500'",North,"9,000'","41.676822000000, -112.010851000000",,,,,,
12/20/2010,Salt Lake,Bear Trap,Natural,,,,,Southeast,"9,600'","40.654011000000, -111.605558000000",,,,,,
12/20/2010,Salt Lake,Rips Ridge,Skier,,"18""",300',,South,"9,300'","0.000000000000, 0.000000000000",,,,,,
12/20/2010,Logan,Bear River Range,Natural,,,,,North,"8,000'","0.000000000000, 0.000000000000",,,,,,
12/20/2010,Logan,Tony Grove-Blind Hollow Saddle,Unknown,,2',250',200',Northeast,"8,800'","41.886612000000, -111.650190000000",,,,,,
12/19/2010,Logan,Logan,Natural,New Snow/Old Snow Interface,"8""",,,,,"0.000000000000, 0.000000000000",,,,,,
12/19/2010,Uintas,Upper Weber Canyon,Skier,New Snow/Old Snow Interface,"18""",150',200',West,"9,000'","40.832190000000, -111.043625000000",,,,,,
12/19/2010,Salt Lake,Brighton Perimeter,Skier,,"12""",600',800',North,"10,000'","40.591926000000, -111.599121000000",,,,,,
12/19/2010,Salt Lake,Emma Ridges,Skier,New Snow/Old Snow Interface,"12""",60',150',South,,"40.595250000000, -111.634569000000",,,,,,
12/19/2010,Uintas,Mirror Lake Highway,Natural,Density Change,"14""",80',40',Northeast,"9,800'","40.767542000000, -110.882950000000",,,,,,
12/19/2010,Salt Lake,East Hellgate,Natural,,,,,Northeast,"9,600'","40.591926000000, -111.648560000000",,,,,,
12/19/2010,Provo,Timpanogos,Natural,New Snow,,,,,,"40.366558000000, -111.626759000000",,,,,,
12/19/2010,Salt Lake,Ivory Flakes,Skier,Facets,2',200',,East,"10,000'","40.606524000000, -111.665812000000",2,2,2,,1,
12/19/2010,Logan,Beaver Canyon,Unknown,New Snow/Old Snow Interface,"12""",30',50',West,"7,100'","41.955597000000, -111.543288000000",,,,,,
12/19/2010,Salt Lake,Twin Lakes Pass,Skier,,"18""",200',300',Northeast,"10,100'","40.591731000000, -111.608477000000",,,,,,
12/19/2010,Provo,Timpanogos,Natural,,,,,North,"8,400'","40.398987000000, -111.635170000000",,,,,,
12/19/2010,Provo,Timpanogos,Natural,,,,,Southeast,,"40.386632000000, -111.601696000000",,,,,,
12/18/2010,Logan,Cliff Cornice,Skier,New Snow/Old Snow Interface,"12""",50',300',East,"9,200'","41.911252000000, -111.658387000000",,,,,,
12/18/2010,Salt Lake,Red Baldy,Skier,New Snow/Old Snow Interface,"16""",80',200',Northwest,,"40.543743000000, -111.670618000000",,,2,,,
12/18/2010,Salt Lake,Salt Lake,Skier,,,,,North,,"0.000000000000, 0.000000000000",,,,,,
12/18/2010,Salt Lake,Hallway Couloir,Skier,New Snow,"7""",20',800',West,"10,400'","40.606101000000, -111.645598000000",,,,,,
12/17/2010,Logan,Miller Bowl,Snowboarder,New Snow/Old Snow Interface,"10""",25',400',North,"8,800'","41.886656000000, -111.646757000000",,,,,,
12/16/2010,Salt Lake,All areas,Skier,,"3""",40',350',North,,"0.000000000000, 0.000000000000",,,,,,
12/15/2010,Skyline,Lake Canyon,Skier,New Snow/Old Snow Interface,"7""",100',50',East,"10,000'","39.570672000000, -111.273093000000",,,,,,
12/12/2010,Provo,Timpanogos,Natural,Graupel,"12""",100',200',East,"9,000'","40.402157000000, -111.631222000000",,,,,,
12/12/2010,Salt Lake,Cardiac Ridge,Natural,,"10""",50',400',Southeast,"10,200'","40.601441000000, -111.667829000000",,,,,,
12/11/2010,Logan,Logan,Unknown,,"12""",60',,East,"9,200'","41.913686000000, -111.652980000000",,,,,,
12/10/2010,Salt Lake,Hellgate,Unknown,New Snow/Old Snow Interface,"8""",40',200',South,"8,000'","40.589808000000, -111.654868000000",,,,,,
12/10/2010,Logan,South Tony Grove,Snowboarder,New Snow,"8""",20',30',North,"8,200'","41.888956000000, -111.640019000000",,,,,,
12/10/2010,Salt Lake,Cottonwoods and Park City,Unknown,New Snow,,,,North,"9,000'","0.000000000000, 0.000000000000",,,,,,
12/10/2010,Logan,East Faces-Wellsville Range,Natural,New Snow,,100',"1,000'",Northeast,"9,000'","41.648385000000, -112.012482000000",,,,,,
12/8/2010,Uintas,Upper Weber Canyon,Unknown,Facets,3',500',800',North,"10,500'","40.846281000000, -111.063023000000",,,,,,
12/7/2010,Salt Lake,Brighton Perimeter,Skier,,"10""",40',200',North,"10,300'","40.583453000000, -111.578522000000",,,,,,
12/7/2010,Uintas,Camp Steiner,Natural,Density Change,"14""",100',300',East,"11,000'","40.724104000000, -110.893421000000",,,,,,
12/7/2010,Uintas,Four Eagle Bowl,Natural,Density Change,,,500',Northeast,"10,300'","40.836022000000, -111.070662000000",,,,,,
12/3/2010,Uintas,1000 Peaks,Unknown,,2.5',100',350',Northeast,"10,500'","40.845567000000, -111.062078000000",,,,,,
12/2/2010,Salt Lake,Park City,Natural,,,,,,"6,800'","40.659761000000, -111.507390000000",,,,,,
12/1/2010,Moab,Moab,Natural,Surface Hoar,2',400',,East,"11,000'","38.402945000000, -109.254591000000",,,,,,
11/29/2010,Salt Lake,Salt Lake foothills,Natural,Ground Interface,"12""",15',20',Southeast,"5,100'","40.791719000000, -111.860905000000",,,,,,
11/29/2010,Salt Lake,Toledo Chutes,Skier,New Snow/Old Snow Interface,"10""",100',"1,000'",East,"10,500'","40.597609000000, -111.648699000000",,,,,,
11/29/2010,Salt Lake,Catherines,Unknown,New Snow/Old Snow Interface,"8""",80',300',North,"10,200'","40.581139000000, -111.596632000000",,,,,,
11/29/2010,Salt Lake,Little Superior,Skier,,"20""",80',,Southeast,"10,400'","40.593100000000, -111.659846000000",2,2,1,,,
11/28/2010,Salt Lake,Davenport Hill,Skier,New Snow,"8""",35',450',North,"10,100'","40.600138000000, -111.620450000000",,,,,,
11/28/2010,Salt Lake,Cardiff Fork,Natural,New Snow,"3""",20',,North,"8,300'","40.594924000000, -111.660662000000",,,,,,
11/28/2010,Provo,Slide Canyon,Natural,Graupel,2',35',,East,"9,100'","40.365185000000, -111.612082000000",,,,,,
11/28/2010,Provo,Slide Canyon,Natural,Graupel,2',40',,East,"9,600'","40.365970000000, -111.616030000000",,,,,,
11/26/2010,Uintas,Cherry Hill,Snowmobiler,,3.5',600',,Northeast,"10,500'","40.847320000000, -111.015129000000",1,1,,1,,1
11/25/2010,Salt Lake,Diving Board,Natural,,,,,Northeast,"9,200'","40.604895000000, -111.721172000000",,,,,,
11/24/2010,Logan,"Mt. Elmer, East Ridge",Unknown,,,,,North,"9,300'","41.851502000000, -111.685381000000",,,,,,
11/23/2010,Logan,Cornice Ridge,Unknown,,4',,500',Northeast,"9,500'","41.895237000000, -111.666005000000",,,,,,
11/23/2010,Logan,Cherry Peak SE Face,Unknown,,,,,Southeast,"9,400'","41.923195000000, -111.693578000000",,,,,,
11/22/2010,Salt Lake,Lackawaxen,Skier,,5',700',600',Northeast,"10,500'","40.592187000000, -111.559896000000",,,,,,
11/21/2010,Salt Lake,Hidden Canyon,Skier,New Snow/Old Snow Interface,"18""",60',125',Northeast,"9,400'","40.594305000000, -111.564016000000",,,,,,
11/21/2010,Salt Lake,Daly Bowl,Skier,,,200',500',North,"9,100'","40.608870000000, -111.517410000000",,,,,,
11/21/2010,Salt Lake,Superior,Natural,,,,,Southeast,"10,400'","40.589808000000, -111.664824000000",,,,,,
11/21/2010,Salt Lake,Butler Fork,Skier,,,,,Northeast,"9,200'","40.661987000000, -111.644783000000",,,,,,
11/21/2010,Salt Lake,Honeycomb,Natural,,5',,,North,"9,700'","40.600399000000, -111.611652000000",,,,,,
11/21/2010,Salt Lake,Pioneer Peak,Natural,,,350',400',North,"10,300'","40.581888000000, -111.586075000000",,,,,,
11/21/2010,Salt Lake,West Ridge 1,Skier,Facets,2',80',,North,"9,600'","40.604048000000, -111.567707000000",,,,,,
11/21/2010,Salt Lake,West Ridge 2,Skier,Facets,2',150',,North,"9,600'","40.604081000000, -111.567922000000",,,,,,
11/21/2010,Salt Lake,West Ridge 3,Unknown,Facets,2',125',,Northeast,"9,600'","40.604276000000, -111.568050000000",,,,,,
11/21/2010,Salt Lake,Davenport Hill,Skier,New Snow/Old Snow Interface,"10""",80',200',North,"9,800'","40.600138000000, -111.622124000000",,,,,,
11/21/2010,Salt Lake,Meadows,Skier,Graupel,"12""",50',200',Northeast,"9,200'","40.613399000000, -111.626072000000",,,,,,
11/20/2010,Salt Lake,Days Headwall,Skier,Facets,"18""",100',700',North,"10,500'","40.599486000000, -111.639376000000",,,,,,
11/20/2010,Salt Lake,Silver Fork,Skier,Facets,"12""",30',150',North,"10,000'","40.599780000000, -111.619806000000",,,,,,
11/18/2010,Salt Lake,Hidden Canyon,Skier,,"10""",70',,Northeast,"10,000'","40.593947000000, -111.562643000000",,,,,,
11/16/2010,Salt Lake,Scotts Bowl,Skier,,"18""",300',,Northeast,"9,800'","40.613431000000, -111.557922000000",,,,,,
11/16/2010,Salt Lake,Rhino,Skier,,"18""",100',,North,"9,700'","40.612258000000, -111.556120000000",,,,,,
11/16/2010,Logan,Beginner Ridge exit,Unknown,,"10""",40',,North,"8,300'","41.888497000000, -111.641200000000",,,,,,
11/16/2010,Salt Lake,Tri-county Peak,Unknown,New Snow/Old Snow Interface,3',200',150',Southeast,"9,900'","40.608023000000, -111.553802000000",,,,,,
11/16/2010,Uintas,Yamaha Hill,Natural,,,,350',Northeast,"10,000'","40.831736000000, -110.898743000000",,,,,,
11/15/2010,Provo,Dry Fork,Skier,Density Change,"14""",100',150',Southwest,"10,300'","40.577130000000, -111.598434000000",,,,,,
11/11/2010,Salt Lake,Red Baldy,Natural,,"12""",50',300',Northwest,"10,500'","40.539569000000, -111.672678000000",,,,,,
5/24/2010,Salt Lake,Emma Ridges,Skier,,"15""",60',900',Southeast,"10,000'","40.599356000000, -111.634011000000",,,,,,
4/29/2010,Salt Lake,Salt Lake,Skier,Density Change,"14""",100',200',Northeast,"10,000'","40.592220000000, -111.596589000000",,,,,,
4/15/2010,Ogden,Rodeo Ridge,Skier,,,,,,,"41.364119000000, -111.921887000000",,,,,,
4/15/2010,Ogden,Ben Lomond,Natural,,,,,East,"8,000'","41.357226000000, -111.927681000000",,,,,,
4/14/2010,Logan,Rock Bowl,Skier,,,50',400',East,"9,700'","41.888860000000, -111.653624000000",,,,,,
4/10/2010,Salt Lake,Diving Board,Natural,,6',,,Northeast,"9,200'","40.604993000000, -111.720185000000",,,,,,
4/10/2010,Uintas,Bald Mtn Pass,Snowmobiler,Depth Hoar,,,,North,"10,400'","0.000000000000, 0.000000000000",,,,,,
4/10/2010,Ogden,Weber Canyon,Snowmobiler,Depth Hoar,2.5',250',500',East,"10,400'","40.842483000000, -111.069846000000",2,2,1,1,,
4/7/2010,Salt Lake,Salt Lake,Natural,,,,,,,"0.000000000000, 0.000000000000",,,,,,
4/7/2010,Ogden,Taylor Canyon,Natural,,,,,West,"7,500'","41.211011000000, -111.896696000000",,,,,,
4/7/2010,Uintas,1000 Peaks,Natural,Depth Hoar,3.5',,,,"10,000'","40.824689000000, -111.088171000000",,,,,,
4/7/2010,Uintas,Bald Mtn Pass,Natural,Depth Hoar,,,,North,"10,500'","40.683692000000, -110.892670000000",,,,,,
4/7/2010,Salt Lake,Neffs,Unknown,,2',250',,Northeast,"7,500'","0.000000000000, 0.000000000000",,,,,,
4/6/2010,Logan,Wellsvilles,Natural,,,,,Northeast,"9,000'","0.000000000000, 0.000000000000",,,,,,
4/6/2010,Ogden,Ben Lomond,Natural,,,,,North,"9,600'","41.370368000000, -111.966648000000",,,,,,
4/6/2010,Uintas,Uintas,Natural,Depth Hoar,3',300',600',Northwest,"10,000'","40.841996000000, -110.776520000000",,,,,,
4/6/2010,Salt Lake,Circle Awl,Natural,New Snow/Old Snow Interface,"12""",350',900',East,"8,300'","40.647173000000, -111.675854000000",,,,,,
4/6/2010,Uintas,Uintas,Natural,,3.5',250',400',North,"10,600'","40.812250000000, -110.953331000000",,,,,,
4/6/2010,Salt Lake,Park City Ridgeline,Unknown,Facets,3',200',700',East,"9,800'","40.625126000000, -111.567020000000",,,,,,
4/4/2010,Ogden,Francis Peak,Snowmobiler,,8',50',"1,000'",East,"9,100'","41.050424000000, -111.844082000000",1,1,,1,,1
4/4/2010,Salt Lake,Cardiac Bowl,Skier,New Snow,"10""",45',,North,"10,800'","40.592546000000, -111.666198000000",,,,,,
4/4/2010,Salt Lake,Butler Fork,Skier,Density Change,"12""",40',,West,"8,000'","0.000000000000, 0.000000000000",,,,,,
4/4/2010,Salt Lake,West Monitor,Natural,,2',40',,Northeast,"9,900'","40.637990000000, -111.576762000000",,,,,,
4/3/2010,Salt Lake,Georges Bowl,Skier,Density Change,"18""",,,Northeast,"9,800'","0.000000000000, 0.000000000000",,,,,,
4/3/2010,Salt Lake,Flanigans,Skier,Density Change,"10""",20',,North,"9,800'","40.605319000000, -111.617360000000",,,,,,
4/3/2010,Salt Lake,north ridge,Skier,Density Change,"12""",200',500',,,"40.672622000000, -111.627831000000",,,,,,
4/3/2010,Salt Lake,Emma Ridges,Skier,,"12""",50',125',Southeast,"9,200'","0.000000000000, 0.000000000000",,,,,,
4/3/2010,Provo,Box Elder,Natural,,2',100',"1,000'",Northeast,"10,800'","0.000000000000, 0.000000000000",,,,,,
4/3/2010,Logan,Big Baldy,Skier,Facets,"18""",100',"2,000'",North,"8,800'","41.677784000000, -111.752586000000",,,,,,
4/3/2010,Logan,Goal Post,Unknown,Facets,3',800',"1,250'",North,"9,000'","41.709381000000, -111.735120000000",,,,,,
4/3/2010,Logan,Old Logway Canyon,Natural,,4',300',"2,000'",East,"8,500'","41.672078000000, -112.026343000000",,,,,,
4/3/2010,Salt Lake,Wilson Chutes,Unknown,New Snow/Old Snow Interface,"8""",50',600',Northeast,"9,600'","40.674617000000, -111.671433000000",,,,,,
4/3/2010,Salt Lake,Salt Lake,Snowboarder,New Snow,"16""",100',600',Southeast,"10,500'","40.591535000000, -111.559725000000",,,,,,
4/3/2010,Salt Lake,Figure 8 Hill,Unknown,,,,,Northeast,,"40.590492000000, -111.604958000000",,,,,,
4/3/2010,Salt Lake,Broads Fork,Natural,,2.5',,,North,"10,600'","0.000000000000, 0.000000000000",,,,,,
4/3/2010,Salt Lake,Days Headwall,Skier,,2',250',,North,"10,200'","40.599877000000, -111.643324000000",1,1,3,,,
4/3/2010,Salt Lake,Reynolds Pk,Unknown,Density Change,"18""",90',,East,"9,200'","40.663442000000, -111.644397000000",,,,,,
4/3/2010,Salt Lake,Twin Lakes area,Unknown,,,,,Northeast,,"40.590492000000, -111.604958000000",,,,,,
4/3/2010,Salt Lake,Park City Ridgeline,Skier,New Snow,"18""",50',,North,"9,300'","0.000000000000, 0.000000000000",,,,,,
4/2/2010,Salt Lake,Holy Toledo,Skier,Density Change,"12""",10',400',Northeast,"10,000'","40.600659000000, -111.647615000000",,,,,,
4/2/2010,Salt Lake,East Mineral,Skier,Density Change,"20""",50',400',North,"10,300'","40.608219000000, -111.668816000000",,,,,,
4/2/2010,Salt Lake,Park City Ridgeline,Skier,Density Change,"18""",50',200',North,"9,300'","0.000000000000, 0.000000000000",,,,,,
4/1/2010,Salt Lake,Salt Lake,Skier,New Snow/Old Snow Interface,"18""",50',"1,000'",Northeast,"9,800'","40.628806000000, -111.665425000000",,,,,,
4/1/2010,Logan,Ridge East of the Dog Leg (pt 9014),Skier,Facets,3',600',,North,"9,100'","41.678041000000, -111.728597000000",,,,,,
4/1/2010,Logan,First Waterfall Hollow,Skier,,"16""",200',900',North,"8,900'","41.677271000000, -111.751685000000",,,,,,
4/1/2010,Salt Lake,Argenta,Unknown,,,,700',Northwest,"10,100'","40.627080000000, -111.668172000000",,,,,,
4/1/2010,Salt Lake,Cardiac Bowl,Natural,Density Change,"18""",300',,East,"10,500'","40.596027000000, -111.666219000000",,,,,,
3/31/2010,Salt Lake,Days Headwall,Skier,New Snow,"8""",100',800',North,"10,200'","40.600562000000, -111.634483000000",,,,,,
3/31/2010,Salt Lake,Hide A Way Park,Skier,New Snow,"8""",100',500',North,"10,000'","40.602647000000, -111.632252000000",,,,,,
3/31/2010,Salt Lake,Salt Lake,Natural,New Snow/Old Snow Interface,"12""",700',"1,000'",North,"9,800'","40.629262000000, -111.666627000000",,,,,,
3/27/2010,Provo,Snake Creek,Snowboarder,New Snow,10',100',50',Southeast,"9,500'","0.000000000000, 0.000000000000",,,,,,
3/27/2010,Logan,Pinball Alley,Snowboarder,New Snow/Old Snow Interface,"12""",50',150',Northeast,"8,900'","41.893652000000, -111.656971000000",1,1,,,,
3/19/2010,Salt Lake,Little Cottonwood Canyon,,Facets,4',100',,North,,"0.000000000000, 0.000000000000",,,,,,
3/18/2010,Salt Lake,Kessler,Natural,,,,,East,,"40.628024000000, -111.660233000000",,,,,,
3/17/2010,Provo,Slide Canyon,Natural,,,,,Southeast,"9,400'","40.366951000000, -111.614013000000",,,,,,
3/17/2010,Provo,Elk Point,Natural,Depth Hoar,4',80',"3,250'",East,"10,200'","40.394215000000, -111.618690000000",,,,,,
3/17/2010,Provo,Elk Point,Natural,Depth Hoar,,70',"3,000'",East,"10,200'","40.396601000000, -111.620407000000",,,,,,
3/17/2010,Provo,Timpanogos,Natural,Depth Hoar,,,,,,"0.000000000000, 0.000000000000",,,,,,
3/17/2010,Skyline,Huntington Canyon,Natural,,2.5',100',500',East,"7,700'","39.496300000000, -111.156908000000",,,,,,
3/17/2010,Salt Lake,Maybird Gulch,Natural,,"18""",100',250',Northeast,"8,900'","40.557765000000, -111.711044000000",,,,,,
3/17/2010,Provo,Timpanogos,Unknown,,,,,,,"0.000000000000, 0.000000000000",,,,,,
3/16/2010,Provo,Timpanogos,Natural,,,,,East,"9,000'","0.000000000000, 0.000000000000",,,,,,
3/14/2010,Salt Lake,Stairs Gulch,Natural,Facets,3',200',"3,000'",North,"9,800'","40.602452000000, -111.728597000000",,,,,,
3/14/2010,Salt Lake,Diving Board,Natural,,7',100',"1,000'",Northeast,"9,900'","40.599356000000, -111.719327000000",,,,,,
3/14/2010,Moab,Mtn Tukunikuvatz N. Face,Natural,New Snow,2',,"1,000'",North,"12,200'","38.440951000000, -109.259248000000",,,,,,
3/14/2010,Uintas,Super Bowl,Snowmobiler,Surface Hoar,"22""",50',200',Northeast,"10,100'","40.833927000000, -111.002612000000",,,,,,
3/13/2010,Uintas,Uintas,Natural,Depth Hoar,,60',400',Northeast,"11,000'","40.855890000000, -110.707512000000",,,,,,
3/13/2010,Abajos,Above Buckboard Flat,Skier,,,600',"1,500'",East,"10,300'","37.871398000000, -109.465070000000",,,,,,
